name	value
1	-0.1287141304981141
2	-0.12766988439586768
3	-0.1266248872889193
4	-0.14738336140487718
5	-0.15969758301892156
6	-0.0820421563578222
7	-0.11191546044854306
8	-0.17797545495502476
9	-0.06904883753645308
10	-0.1749450615589936
11	-0.11297108661442579
12	-0.1809995430146749
13	-0.09171144309617318
14	-0.14738336140487718
15	-0.11823774358160932
16	-0.13704119256246017
17	-0.11402594637058172
18	-0.11191546044854306
19	-0.12557913809238386
20	-0.15867537398089482
21	-0.15252697416703143
22	-0.1840173520196835
23	-0.15252697416703143
24	-0.11191546044854306
25	-0.2089250339093418
26	-0.11191546044854306
27	-0.11613337111530342
28	-0.11297108661442579
29	-0.16173984659619123
30	-0.13184237359037
31	-0.21483990206632342
32	-0.12453263571901019
33	-0.21483990206632342
34	-0.17393352467480483
35	-0.07447685114192026
36	-0.22757348005318434
37	-0.19702260026163998
38	-0.1442884320715052
39	-0.21188547640561595
40	-0.13184237359037
41	-0.13911552326893784
42	-0.10662579424148433
43	-0.15765244542370382
44	-0.20298599965382635
45	-0.11928878798065767
46	-0.1566287963300006
47	-0.18602574923037807
48	-0.08742192572966445
49	-0.1380787280575575
50	-0.16683298475638608
51	-0.15252697416703143
52	-0.2168061885922441
53	-0.15867537398089482
54	-0.08956826759995451
55	-0.16377924425143675
56	-0.11297108661442579
57	-0.10980190441133786
58	-0.10556554604373147
59	-0.12557913809238386
60	-0.07122247750215394
61	-0.16173984659619123
62	-0.08742192572966445
63	-0.09918775691562942
64	-0.19702260026163998
65	-0.12243736708099107
66	-0.07230807900642944
67	-0.17797545495502476
68	-0.1658157840464547
69	-0.15560442568024868
70	-0.09598833236963245
71	-0.10768526928189814
72	-0.10238015116138754
73	-0.12243736708099107
74	-0.14841354146683727
75	-0.20397752531419044
76	-0.17898418359991908
77	-0.13496389647188778
78	-0.15252697416703143
79	-0.14738336140487718
80	-0.1266248872889193
81	-0.10344272564069001
82	-0.05154162087308478
83	-0.10980190441133786
84	-0.13911552326893784
85	-0.1820061757292848
86	-0.1545793324527729
87	-0.11191546044854306
88	-0.1328836264758806
89	-0.18502189752809528
90	-0.16886525280262532
91	-0.04933830714213272
92	-0.20000735813567516
93	-0.20100091699361755
94	-0.10025266794339771
95	-0.14841354146683727
96	-0.1287141304981141
97	-0.1297576266781988
98	-0.16275990315940447
99	-0.16479787087894238
100	-0.1380787280575575
