name	value
1	-0.2463356459185313
2	-0.15638019037665174
3	-0.20752718076809273
4	-0.2345871145417746
5	-0.13241783785105454
6	-0.14843659280292343
7	-0.21732692594824954
8	-0.19104590402137234
9	-0.23780069332281784
10	-0.21949569808374392
11	-0.1743754634894934
12	-0.206434227914837
13	-0.18883420274613982
14	-0.27581922095814093
15	-0.2622047852704199
16	-0.24207443722270838
17	-0.1278084051047692
18	-0.21624132444397404
19	-0.1552480475595317
20	-0.07012219714284029
21	-0.14273587267744858
22	-0.2216612371354536
23	-0.19545922873070154
24	-0.16765333920753633
25	-0.14843659280292343
26	-0.2643076349224778
27	-0.20752718076809273
28	-0.09512602959495098
29	-0.16877585614419743
30	-0.2108011138021446
31	-0.23565909750059788
32	-0.1608999562102511
33	-0.19985918438131023
34	-0.2118907870922122
35	-0.241007179311449
36	-0.20205417415892413
37	-0.21841171675680826
38	-0.18440067089693812
39	-0.14729823770801076
40	-0.2388703085213173
41	-0.21624132444397404
42	-0.12549818995821482
43	-0.1732572678725539
44	-0.18883420274613982
45	-0.15751145127441646
46	-0.10805340964290622
47	-0.15864183163030532
48	-0.23780069332281784
49	-0.16540569911988
50	-0.15977133281857192
51	-0.15864183163030532
52	-0.17549279884529767
53	-0.17549279884529767
54	-0.09394508541853597
55	-0.2108011138021446
56	-0.14843659280292343
57	-0.14387780845330056
58	-0.22813855215530765
59	-0.2726887313376878
60	-0.24952337049720796
61	-0.17772489407871106
62	-0.21406768447827673
63	-0.20971062247416228
64	-0.12896213579377402
65	-0.1732572678725539
66	-0.22598265457760291
67	-0.18772708788359083
68	-0.13586533540219037
69	-0.1832901701123646
70	-0.13356791338195606
71	-0.14387780845330056
72	-0.22057887114040753
73	-0.23136641140930436
74	-0.20861931187487315
75	-0.1301149505097463
76	-0.18994047436276773
77	-0.18994047436276773
78	-0.14159303819729274
79	-0.18994047436276773
80	-0.21624132444397404
81	-0.1921504930069169
82	-0.1832901701123646
83	-0.1743754634894934
84	-0.18106661804745983
85	-0.1732572678725539
86	-0.2216612371354536
87	-0.2238235527617043
88	-0.23136641140930436
89	-0.19104590402137234
90	-0.24207443722270838
91	-0.16315457507198516
92	-0.20424585199891965
93	-0.18883420274613982
94	-0.14044930359249364
95	-0.23673029003799684
96	-0.16540569911988
97	-0.1832901701123646
98	-0.2238235527617043
99	-0.1552480475595317
100	-0.22274279727480817
