name	value
1	-0.05806784976495649
2	-0.050653470333219985
3	-0.035196481034052596
4	-0.048868934907872585
5	-0.04991015394851672
6	-0.04857132019000687
7	-0.04879453637940756
8	-0.04723137356079121
9	-0.0417109698938809
10	-0.043876625258430835
11	-0.03256825871140023
12	-0.05703188626400646
13	-0.0378953278390739
14	-0.05035618490261129
15	-0.050653470333219985
16	-0.04402587356672427
17	-0.06109792165806738
18	-0.049389628489734605
19	-0.034295859416712204
20	-0.021785286656811564
21	-0.04305551237860783
22	-0.05169353788403441
23	-0.04462272861021077
24	-0.03984168638242025
25	-0.029709894095052647
26	-0.031214929135611413
27	-0.05651365491224425
28	-0.04805036218155223
29	-0.05939882604645419
30	-0.024657748015322056
31	-0.050876398438575166
32	-0.059324911719595974
33	-0.05221332018182068
34	-0.03662143596447365
35	-0.033544956424826466
36	-0.03474623318844294
37	-0.0418604189225924
38	-0.06434338881668111
39	-0.04670998223840783
40	-0.0524360327419231
41	-0.05406831899646747
42	-0.05169353788403441
43	-0.04812479506292178
44	-0.038344696290401714
45	-0.04014091753556315
46	-0.07052121827945967
47	-0.04298084500091193
48	-0.03377026409327755
49	-0.027751242414268518
50	-0.04447353557235445
51	-0.04700794078879511
52	-0.0284295069863596
53	-0.038644205625494976
54	-0.03901851399649914
55	-0.05436492089163636
56	-0.04618842219822383
57	-0.043354147294348166
58	-0.049315253988265084
59	-0.04834807308754563
60	-0.03256825871140023
61	-0.0451447955003097
62	-0.06345890849896918
63	-0.04849690792441663
64	-0.049389628489734605
65	-0.0500588446445569
66	-0.04424972011435102
67	-0.06905244929231102
68	-0.04715689941143353
69	-0.03467117964004274
70	-0.033995540239665445
71	-0.0408887523451007
72	-0.03707115992148147
73	-0.026695595709160358
74	-0.035271510104085024
75	-0.05592118656190692
76	-0.04618842219822383
77	-0.031590968144804776
78	-0.049315253988265084
79	-0.051842064210365635
80	-0.04715689941143353
81	-0.038719074258363406
82	-0.06566920114846653
83	-0.04946399956012115
84	-0.03482128323889455
85	-0.03954239963678674
86	-0.04842249222371109
87	-0.05102500005307675
88	-0.0522875611197513
89	-0.057549951177058745
90	-0.037295974817546096
91	-0.0522875611197513
92	-0.024280085436565457
93	-0.05317818586599188
94	-0.05680980750012665
95	-0.05317818586599188
96	-0.031590968144804776
97	-0.04864572902080866
98	-0.044921073256173116
99	-0.04484649227254778
100	-0.038269810254004
