name	value
1	-0.4082352851424993
2	-0.4605723106096171
3	-0.4214971842832327
4	-0.4968354306752403
5	-0.4243233519752003
6	-0.4559751873835758
7	-0.4383723857723929
8	-0.37551507303451004
9	-0.425264188610047
10	-0.43743999423708857
11	-0.39004131023364863
12	-0.4214971842832327
13	-0.4541322618778345
14	-0.4044238482783271
15	-0.4044238482783271
16	-0.49414683347108124
17	-0.4186655132221446
18	-0.40060239422574284
19	-0.377460311070287
20	-0.38521533973969113
21	-0.3986878942071215
22	-0.35295572535484254
23	-0.44858943248079797
24	-0.5004125150706464
25	-0.37454147709611973
26	-0.41108732065919185
27	-0.4541322618778345
28	-0.47972311893077446
29	-0.48243848175468784
30	-0.37356722870909564
31	-0.43276904856338305
32	-0.39581140920362046
33	-0.412036757402813
34	-0.38907739680513487
35	-0.412036757402813
36	-0.4224398506049063
37	-0.4393041799071291
38	-0.47245727248164116
39	-0.41961001638962614
40	-0.41488135372665624
41	-0.37454147709611973
42	-0.5030895682132552
43	-0.42995926286717534
44	-0.4697231957142023
45	-0.42620441693294353
46	-0.4430253977806551
47	-0.45043939040268555
48	-0.3996454593249794
49	-0.427144037733143
50	-0.427144037733143
51	-0.48062880318076395
52	-0.4139337731261641
53	-0.45965404764185536
54	-0.4167746644452386
55	-0.3813429962134798
56	-0.44209598558174434
57	-0.48695285303859137
58	-0.43276904856338305
59	-0.37940294980858624
60	-0.46881069356580696
61	-0.46789761860356194
62	-0.44116597904589483
63	-0.45873520457248773
64	-0.412036757402813
65	-0.45873520457248773
66	-0.45965404764185536
67	-0.45873520457248773
68	-0.433704438675548
69	-0.46789761860356194
70	-0.37064056006298074
71	-0.48514878533740813
72	-0.42995926286717534
73	-0.4439542164048582
74	-0.4878540485746754
75	-0.43183305641058567
76	-0.4224398506049063
77	-0.44951470558171636
78	-0.3986878942071215
79	-0.44488244221511053
80	-0.44116597904589483
81	-0.45043939040268555
82	-0.45320992268487714
83	-0.4697231957142023
84	-0.3986878942071215
85	-0.4751862198066519
86	-0.4129855746214126
87	-0.4158283172308792
88	-0.49414683347108124
89	-0.4402353774094152
90	-0.42055390647713864
91	-0.44951470558171636
92	-0.45136348769432644
93	-0.41013726357778424
94	-0.47427713944338024
95	-0.362807182333853
96	-0.41961001638962614
97	-0.433704438675548
98	-0.4760947323761009
99	-0.5146335444600751
100	-0.42808305179837447
