name	value
1	-0.07125510207785979
2	-0.05991613154116848
3	-0.049538367199762234
4	-0.04596484478966545
5	-0.0513221622004032
6	-0.04058966007730902
7	-0.07198865250938624
8	-0.05917707290616647
9	-0.05236179863967294
10	-0.046039374038670644
11	-0.060063902651709355
12	-0.049835803457572325
13	-0.046486477172980045
14	-0.056735774450537235
15	-0.05406831899646747
16	-0.053326575512144814
17	-0.04752923575304635
18	-0.04968709218814382
19	-0.05369748990009526
20	-0.057475952089586
21	-0.05147072273858555
22	-0.06559557347075184
23	-0.052584490694748354
24	-0.07308835379772205
25	-0.06728816098918244
26	-0.07088820186964995
27	-0.03602160860748782
28	-0.05191632224334697
29	-0.03984168638242025
30	-0.04611389984140857
31	-0.05643960826853345
32	-0.060211660229569475
33	-0.05732794373014727
34	-0.04581577595151032
35	-0.051396444180504375
36	-0.05584711271403009
37	-0.058437675558860036
38	-0.05384583177129798
39	-0.04670998223840783
40	-0.0717686223642886
41	-0.052658714545987806
42	-0.05858558214113785
43	-0.05732794373014727
44	-0.058437675558860036
45	-0.05947273698717481
46	-0.06168849229026563
47	-0.056735774450537235
48	-0.062352626000745204
49	-0.05592118656190692
50	-0.039168212994376006
51	-0.05480972148113139
52	-0.07821041684929497
53	-0.06478544727608693
54	-0.050727783126593096
55	-0.07352802473762665
56	-0.06743525867744538
57	-0.0405148783334468
58	-0.0659636782797719
59	-0.05991613154116848
60	-0.055180294952645426
61	-0.05221332018182068
62	-0.054587336520874885
63	-0.07103497195651798
64	-0.05050483447000431
65	-0.06338517992114134
66	-0.0641960090871514
67	-0.06515373686229253
68	-0.0524360327419231
69	-0.06382750087353273
70	-0.053919997590238467
71	-0.05629150478269551
72	-0.06102408512896318
73	-0.05592118656190692
74	-0.038045131253007014
75	-0.0524360327419231
76	-0.04790148610704037
77	-0.051396444180504375
78	-0.05102500005307675
79	-0.061171754808615475
80	-0.0669203581180895
81	-0.05028185497901205
82	-0.05480972148113139
83	-0.06853806433241161
84	-0.05666173800291219
85	-0.050653470333219985
86	-0.06146705363174121
87	-0.05592118656190692
88	-0.07008072785026087
89	-0.02978517927574842
90	-0.06065485179346197
91	-0.0530297825638435
92	-0.044697319949907666
93	-0.054735596568153966
94	-0.03954239963678674
95	-0.07864869612833658
96	-0.04805036218155223
97	-0.056069324052948843
98	-0.05317818586599188
99	-0.05717992178916376
100	-0.03901851399649914
