name	value
1	-0.3653473108207237
2	-0.24798375776791026
3	-0.3011900761879449
4	-0.28144094631304384
5	-0.22757361325437842
6	-0.27480433640696234
7	-0.43916465751727074
8	-0.4088086785525604
9	-0.2681405529395864
10	-0.22071274932004492
11	-0.37788259476843145
12	-0.42101821236491155
13	-0.5440558423404536
14	-0.20690323092087937
15	-0.4451694136025015
16	-0.42101821236491155
17	-0.5327228658104772
18	-0.2681405529395864
19	-0.5213122908836958
20	-0.37788259476843145
21	-0.2880506183251583
22	-0.4149247546549937
23	-0.5941238210391973
24	-0.19297486979650635
25	-0.4331379876578474
26	-0.4088086785525604
27	-0.371626920548648
28	-0.43916465751727074
29	-0.3653473108207237
30	-0.24798375776791026
31	-0.39650794323962835
32	-0.46305389967790944
33	-0.390322914576382
34	-0.371626920548648
35	-0.39650794323962835
36	-0.4149247546549937
37	-0.33358323189090555
38	-0.23440556420920622
39	-0.33358323189090555
40	-0.5383989823515822
41	-0.1360280969551546
42	-0.6050496522579749
43	-0.4511524269491147
44	-0.28144094631304384
45	-0.39650794323962835
46	-0.29463358507044113
47	-0.6639050010474143
48	-0.4331379876578474
49	-0.3207029484056019
50	-0.33358323189090555
51	-0.32715577540192875
52	-0.4924386815669557
53	-0.4331379876578474
54	-0.4331379876578474
55	-0.45711386660839537
56	-0.4270892309731753
57	-0.46305389967790944
58	-0.5040483861682592
59	-0.3207029484056019
60	-0.3653473108207237
61	-0.24120886069102454
62	-0.17185467239142938
63	-0.3011900761879449
64	-0.3653473108207237
65	-0.5098229572284954
66	-0.4924386815669557
67	-0.390322914576382
68	-0.46897269133152975
69	-0.16475276461845212
70	-0.4511524269491147
71	-0.25473050713026524
72	-0.4866032412941337
73	-0.21382271039921186
74	-0.4748704048488399
75	-0.39650794323962835
76	-0.4748704048488399
77	-0.35271549253135426
78	-0.22071274932004492
79	-0.22757361325437842
80	-0.5270273500655343
81	-0.4748704048488399
82	-0.4331379876578474
83	-0.3463628816693767
84	-0.4924386815669557
85	-0.27480433640696234
86	-0.35271549253135426
87	-0.35904356811793825
88	-0.1360280969551546
89	-0.30772031837958735
90	-0.371626920548648
91	-0.39650794323962835
92	-0.1360280969551546
93	-0.28144094631304384
94	-0.3653473108207237
95	-0.390322914576382
96	-0.2880506183251583
97	-0.25473050713026524
98	-0.24798375776791026
99	-0.4270892309731753
100	-0.39650794323962835
