name	value
1	-0.2778533045816687
2	-0.25645306972658766
3	-0.31290186311111867
4	-0.41371895056982666
5	-0.49011316073445244
6	-0.452361513859616
7	-0.4267015805958412
8	-0.4071887083781842
9	-0.471345943010963
10	-0.3335722454446177
11	-0.36072913932050454
12	-0.2636180840407967
13	-0.3741391851298257
14	-0.3404041963994455
15	-0.3741391851298257
16	-0.2849240997835114
17	-0.13724215932314898
18	-0.2707513968086914
19	-0.22746991708862652
20	-0.44598416280669007
21	-0.2849240997835114
22	-0.29897350198674566
23	-0.22746991708862652
24	-0.34720749288126385
25	-0.471345943010963
26	-0.35398238995814957
27	-0.25645306972658766
28	-0.24202672914539392
29	-0.48388122695867075
30	-0.43958186408114486
31	-0.1678862419880769
32	-0.29897350198674566
33	-0.3674479893404303
34	-0.3267113815102842
35	-0.3404041963994455
36	-0.18299098695129423
37	-0.4267015805958412
38	-0.2778533045816687
39	-0.43315440759216806
40	-0.18299098695129423
41	-0.43315440759216806
42	-0.3267113815102842
43	-0.0660625410622
44	-0.29196407078666553
45	-0.49011316073445244
46	-0.1678862419880769
47	-0.31982134258945116
48	-0.1059986321902393
49	-0.3404041963994455
50	-0.19049029342547286
51	-0.3267113815102842
52	-0.3674479893404303
53	-0.2849240997835114
54	-0.305952673875332
55	-0.24202672914539392
56	-0.16028009271052923
57	-0.20538451217588793
58	-0.4963215467666213
59	-0.22014179673591272
60	-0.249256053109006
61	-0.11386706922931467
62	-0.48388122695867075
63	-0.42022316765028833
64	-0.31290186311111867
65	-0.2778533045816687
66	-0.21278010434436823
67	-0.39404925051539763
68	-0.1979546876852183
69	-0.18299098695129423
70	-0.3335722454446177
71	-0.42022316765028833
72	-0.29196407078666553
73	-0.18299098695129423
74	-0.35398238995814957
75	-0.305952673875332
76	-0.29196407078666553
77	-0.2849240997835114
78	-0.43958186408114486
79	-0.38080296859720164
80	-0.05795357230615927
81	-0.23476478842569293
82	-0.2636180840407967
83	-0.3741391851298257
84	-0.20538451217588793
85	-0.23476478842569293
86	-0.45871412472159356
87	-0.3335722454446177
88	-0.2778533045816687
89	-0.1678862419880769
90	-0.3404041963994455
91	-0.31290186311111867
92	-0.49011316073445244
93	-0.3674479893404303
94	-0.3741391851298257
95	-0.249256053109006
96	-0.31982134258945116
97	-0.29897350198674566
98	-0.1678862419880769
99	-0.3335722454446177
100	-0.2707513968086914
